DST,Ano,Sexo,N-spec,spec,Total
herpes genital,2017,M,1.5683532941769005,41.29026642465265,42.858619718829544
herpes genital,2018,M,1.713174040917102,41.0908769434315,42.8040509843486
herpes genital,2019,M,1.5344350768840016,42.11251678220987,43.646951859093875
herpes genital,2012,F,1.8077868929264762,73.8578514706825,75.66563836360898
herpes genital,2013,F,3.863624589160601,74.83943273795464,78.70305732711523
herpes genital,2014,F,4.382171539905245,74.02493415669267,78.40710569659791
herpes genital,2015,F,3.905315411682391,73.793888909124,77.69920432080639
herpes genital,2016,F,5.045205361848314,70.40761075843739,75.4528161202857
herpes genital,2017,F,4.705317581038877,70.44116297112657,75.14648055216546
herpes genital,2018,F,4.984239066006586,71.96591246757772,76.9501515335843
herpes genital,2019,F,4.666340819273112,73.82516612419283,78.49150694346595
Mycoplasma genitalium,2012,M,-,-,-
Mycoplasma genitalium,2013,M,-,-,-
Mycoplasma genitalium,2014,M,-,-,-
Mycoplasma genitalium,2015,M,0.0,0.2256811371191973,0.2256811371191973
Mycoplasma genitalium,2016,M,0.0036628802252817853,0.5530949140175495,0.5567577942428313
Mycoplasma genitalium,2017,M,0.010916612256451744,1.1062167086537766,1.1171333209102285
Mycoplasma genitalium,2018,M,0.0578286596090161,4.45280678989424,4.510635449503256
Mycoplasma genitalium,2019,M,0.07546402017462303,13.058869014980004,13.134333035154627
Mycoplasma genitalium,2012,F,-,-,-
Mycoplasma genitalium,2013,F,-,-,-
Mycoplasma genitalium,2014,F,-,-,-
Mycoplasma genitalium,2015,F,0.007205378988343895,0.05764303190675116,0.06484841089509505
Mycoplasma genitalium,2016,F,0.010726871782810024,0.17878119638016707,0.18950806816297708
Mycoplasma genitalium,2017,F,0.017769326212382468,0.3944790419148908,0.4122483681272733
Mycoplasma genitalium,2018,F,0.02825932851031374,1.9004398423185989,1.9286991708289125
Mycoplasma genitalium,2019,F,0.052707162868295694,5.720484076639026,5.773191239507322
Não especificada,2012,M,0.554427965528859,178.37770427936366,178.9321322448925
Não especificada,2013,M,1.443432755951437,159.14694103999292,160.59037379594434
Não especificada,2014,M,1.2400462014322085,148.29383835982824,149.53388456126044
Não especificada,2015,M,1.3873840396671964,135.3938835084286,136.7812675480958
Não especificada,2016,M,2.0878417284106177,117.01437167685191,119.10221340526252
Não especificada,2017,M,1.9941011721785187,105.60366809816202,107.59776927034054
Não especificada,2018,M,1.7529312443983005,99.92069522192868,101.673626466327
Não especificada,2019,M,1.469751631020039,91.03476300398691,92.50451463500696
Não especificada,2012,F,0.33872992698418697,26.01961297823097,26.358342905215157
Não especificada,2013,F,1.1268905051718419,25.146488448201524,26.273378953373367
Não especificada,2014,F,1.2198919945386597,25.72302018245954,26.9429121769982
Não especificada,2015,F,1.2861601494193853,18.669136958799033,19.955297108218417
Não especificada,2016,F,1.5518207845798502,14.56351625712841,16.11533704170826
Não especificada,2017,F,1.1692216647747664,13.351871715984187,14.521093380758952
Não especificada,2018,F,0.7983260304163631,10.505405373709133,11.303731404125495
Não especificada,2019,F,0.5868064132670254,8.345300787480152,8.932107200747177
DIP,2012,M,1.560752697481925,25.142928491551885,26.703681189033812
DIP,2013,M,3.4220285702451823,25.944102067805986,29.366130638051168
DIP,2014,M,3.260723897139512,25.039969079522667,28.30069297666218
DIP,2015,M,2.8931581840526603,23.052773203110135,25.945931387162798
DIP,2016,M,2.9742587429288094,22.292289051064945,25.266547793993755
DIP,2017,M,3.06756804406294,21.298310512337352,24.365878556400293
DIP,2018,M,3.4877910326687833,20.28701664908796,23.774807681756744
DIP,2019,M,3.352758610615395,19.642206394023308,22.994965004638704
DIP,2012,F,1.3181012376123797,53.78073960280456,55.09884084041693
DIP,2013,F,2.2830508935949005,51.511335786734946,53.79438668032984
DIP,2014,F,2.2727749660154792,50.552905154631844,52.82568012064732
DIP,2015,F,1.9814792217945711,48.82364802501823,50.8051272468128
DIP,2016,F,2.388516783639032,44.323434206571015,46.71195099021005
DIP,2017,F,2.0185954577266485,40.69175702635585,42.7103524840825
DIP,2018,F,1.9604909154030157,37.521323429569065,39.48181434497208
DIP,2019,F,1.5671596426173253,33.62716990997265,35.19432955258998
DIP (clamidia),2012,M,0.018987259093454074,1.8721437466145718,1.891131005708026
DIP (clamidia),2013,M,0.0075375078639761724,2.1293459715732688,2.136883479437245
DIP (clamidia),2014,M,0.011205236759929595,1.945976117307773,1.9571813540677026
DIP (clamidia),2015,M,0.014798763089783428,2.0607277602523424,2.075526523342126
DIP (clamidia),2016,M,0.0073257604505635706,1.9230121182729372,1.9303378787235008
DIP (clamidia),2017,M,0.03274983676935523,1.8667406958532482,1.8994905326226035
DIP (clamidia),2018,M,0.010842873676690517,1.8360599425862612,1.8469028162629515
DIP (clamidia),2019,M,0.039528772472421585,1.839884682352714,1.8794134548251356
DIP (clamidia),2012,F,0.07731878768117312,6.019819898034193,6.0971386857153655
DIP (clamidia),2013,F,0.11342079759846461,5.9051989459329635,6.018619743531429
DIP (clamidia),2014,F,0.0798738805947932,5.642000474741302,5.7218743553360945
DIP (clamidia),2015,F,0.09727261634264259,5.353596588339514,5.4508692046821565
DIP (clamidia),2016,F,0.10011746997289356,4.887877909033767,4.987995379006661
DIP (clamidia),2017,F,0.07107730484952987,4.634240276189348,4.705317581038877
DIP (clamidia),2018,F,0.07771315340336278,4.493233233139884,4.570946386543247
DIP (clamidia),2019,F,0.06324859544195484,3.7351809419332214,3.7984295373751764
DIP (gonorriea),2012,M,0.0,0.43670695914944374,0.43670695914944374
DIP (gonorriea),2013,M,0.0037687539319880862,0.5577755819342368,0.5615443358662249
DIP (gonorriea),2014,M,0.007470157839953063,0.5565267590765032,0.5639969169164563
DIP (gonorriea),2015,M,0.0,0.5771517605015537,0.5771517605015537
DIP (gonorriea),2016,M,0.010988640675845355,0.5054774710888863,0.5164661117647317
DIP (gonorriea),2017,M,0.003638870752150581,0.6440801231306529,0.6477189938828035
DIP (gonorriea),2018,M,0.025300038578944542,0.7553868661427727,0.7806869047217173
DIP (gonorriea),2019,M,0.017967623851100723,0.9019747173252562,0.919942341176357
DIP (gonorriea),2012,F,0.02209108219462089,1.332828625742127,1.3549197079367479
DIP (gonorriea),2013,F,0.03292861865761876,1.3720257774007816,1.4049543960584003
DIP (gonorriea),2014,F,0.05445946404190446,1.499450576620436,1.5539100406623405
DIP (gonorriea),2015,F,0.050437652918407266,1.365419318291168,1.4158569712095754
DIP (gonorriea),2016,F,0.02502936749322339,1.0512334347153822,1.0762628022086056
DIP (gonorriea),2017,F,0.02132319145485896,1.1123598208951424,1.1336830123500015
DIP (gonorriea),2018,F,0.031791744574102956,1.4200312576432654,1.4518230022173684
DIP (gonorriea),2019,F,0.0351381085788638,1.6198668054856211,1.655004914064485
sifilis,2012,M,0.06455668091774386,10.310081687745562,10.374638368663307
sifilis,2013,M,0.15075015727952346,11.257267994848414,11.408018152127937
sifilis,2014,M,0.15687331463901433,15.343704203263592,15.500577517902606
sifilis,2015,M,0.15168732167028015,18.283871797427427,18.435559119097707
sifilis,2016,M,0.26006449599500675,20.277704927159963,20.53776942315497
sifilis,2017,M,0.2110545036247337,23.78729810680835,23.998352610433084
sifilis,2018,M,0.19878601740599283,24.161536842892037,24.36032286029803
sifilis,2019,M,0.2120179614429885,25.920094167597902,26.13211212904089
sifilis,2012,F,0.03681847032436815,1.0014623928228137,1.0382808631471818
sifilis,2013,F,0.09512712056645418,1.0683507386694087,1.1634778592358628
sifilis,2014,F,0.10528829714768195,0.9730090908820263,1.0782973880297082
sifilis,2015,F,0.08646454786012674,1.1240391221816477,1.2105036700417744
sifilis,2016,F,0.06793685462446349,1.1155946654122424,1.183531520036706
sifilis,2017,F,0.06041570912210039,1.410884501263168,1.4713002103852684
sifilis,2018,F,0.1024400658498873,1.674365214236089,1.7768052800859764
sifilis,2019,F,0.08081764973138673,2.3226289770628967,2.403446626794284
verrugas genitais,2012,M,2.3696099348630684,154.41198585160592,156.78159578646898
verrugas genitais,2013,M,3.6783038376203723,156.40705693143758,160.08536076905796
verrugas genitais,2014,M,3.660377341577001,149.04832430166348,152.7087016432405
verrugas genitais,2015,M,3.551703141548023,139.23786222099983,142.78956536254785
verrugas genitais,2016,M,4.457725234167932,126.55983754393624,131.01756277810418
verrugas genitais,2017,M,3.617037527637678,118.33971573068905,121.95675325832673
verrugas genitais,2018,M,4.297392267195009,115.57419051984424,119.87158278703924
verrugas genitais,2019,M,3.8450715041355545,103.45398460986773,107.29905611400329
verrugas genitais,2012,F,2.9491594729818886,124.33965613242368,127.28881560540556
verrugas genitais,2013,F,4.44170478337213,121.93467488916227,126.37637967253438
verrugas genitais,2014,F,4.0445228628454375,115.17450518675567,119.2190280496011
verrugas genitais,2015,F,3.8008374163514045,105.76055279091169,109.56139020726309
verrugas genitais,2016,F,4.544618011983847,94.51446727833911,99.05908529032297
verrugas genitais,2017,F,3.7599894265401304,88.09676549574979,91.85675492228992
verrugas genitais,2018,F,3.6666478742132074,81.12546732098316,84.79211519519637
verrugas genitais,2019,F,3.1413469069504236,71.6676862574506,74.80903316440103
outras,2012,M,0.6645540682708926,55.055456467379436,55.72001053565033
outras,2013,M,0.9987197919768429,53.26003056685564,54.25875035883248
outras,2014,M,1.2587215960320912,52.57497087758966,53.83369247362175
outras,2015,M,1.0433127978297316,49.49076346300823,50.53407626083796
outras,2016,M,1.1391557500626353,44.617544024157425,45.75669977422006
outras,2017,M,1.0407170351150663,41.60320930933759,42.643926344452666
outras,2018,M,1.0842873676690519,40.881248052348816,41.96553542001787
outras,2019,M,1.3044494915899123,40.76853851814754,42.07298800973745
outras,2012,F,1.1192814978607917,41.98778355790944,43.10706505577023
outras,2013,F,1.4525179563416275,40.154621085262875,41.607139041604505
outras,2014,F,1.79353168244672,38.19060681711953,39.98413849956625
outras,2015,F,1.2825574599252132,36.45921768102011,37.74177514094532
outras,2016,F,2.0810131258651445,35.13765633655803,37.21866946242318
outras,2017,F,2.7542455629192824,37.00284490466525,39.75709046758453
outras,2018,F,2.7588169458193788,37.59197175084485,40.35078869666423
outras,2019,F,2.6072476565516935,40.56694635429825,43.174194010849945
