country,policyId,isNumeric,value,numericValue
Antigua and Barbuda,P22,False,Integrated in some health facilities,
Antigua and Barbuda,P23,False,Delivered separately,
Antigua and Barbuda,P24,False,Delivered separately,
Antigua and Barbuda,P25,False,Integrated in some health facilities,
Antigua and Barbuda,P26,False,Delivered separately,
Antigua and Barbuda,P27,False,Integrated in some health facilities,
Antigua and Barbuda,P28,False,Delivered separately,
Antigua and Barbuda,P29,False,Delivered separately,
Antigua and Barbuda,P30,False,Integrated in some health facilities,
Antigua and Barbuda,P31,False,Delivered separately,
Antigua and Barbuda,P32,False,Integrated in some health facilities,
Antigua and Barbuda,P33,False,Delivered separately,
Antigua and Barbuda,P34,False,Delivered separately,
Antigua and Barbuda,P35,False,Delivered separately,
Antigua and Barbuda,P36,False,Delivered separately,
Antigua and Barbuda,P37,False,"Yes, a health strategy or policy that integrates the AIDS response",
Antigua and Barbuda,P38,False,Yes,
Antigua and Barbuda,P39,False,Yes,
Antigua and Barbuda,P40,False,Yes,
Antigua and Barbuda,P41,False,Yes,
Antigua and Barbuda,P42,False,Yes,
Antigua and Barbuda,P43,False,No,
Antigua and Barbuda,P44,False,On-going,
Antigua and Barbuda,P45,False,"Yes, rapid initiation within 7 days of HIV diagnosis",
Antigua and Barbuda,P46,False,Yes,
Antigua and Barbuda,P47,False,"Yes, partially adopted",
Antigua and Barbuda,P49,False,Yes,
Antigua and Barbuda,P50,False,"Yes, for adolescents younger than 16 years",
Antigua and Barbuda,P51,False,No,
Antigua and Barbuda,P52,False,No,
Antigua and Barbuda,P53,False,No,
Argentina,P1,False,"Yes, partially",
Argentina,P2,False,No,
Argentina,P3,False,Yes,
Argentina,P4,False,No,
Argentina,P5,False,No,
Argentina,P6,False,No,
Argentina,P7,False,Yes,
Argentina,P8,False,No,
Argentina,P9,False,"Yes, policies exists and are consistently implemented",
Argentina,P10,False,"Yes, policies exist but are not consistently implemented",
Argentina,P11,False,"Yes, as one-off activities",
Argentina,P12,False,No,
Argentina,P13,False,No,
Argentina,P14,False,No,
Argentina,P15,False,"Yes, for adolescents younger than 14 years",
Argentina,P16,False,"Yes, for adolescents younger than 14 years",
Argentina,P17,False,No,
Argentina,P18,False,No,
Argentina,P19,False,Integrated in some health facilities,
Argentina,P20,False,Integrated in some health facilities,
Argentina,P21,False,Integrated in some health facilities,
Argentina,P22,False,Integrated in some health facilities,
Argentina,P23,False,Integrated in some health facilities,
Argentina,P24,False,Integrated in some health facilities,
Argentina,P25,False,Integrated in some health facilities,
Argentina,P26,False,Integrated in some health facilities,
Argentina,P27,False,Integrated in some health facilities,
Argentina,P28,False,Integrated in some health facilities,
Argentina,P29,False,Integrated in some health facilities,
Argentina,P30,False,Integrated in some health facilities,
Argentina,P31,False,Integrated in some health facilities,
Argentina,P32,False,Integrated in some health facilities,
Argentina,P33,False,Integrated in some health facilities,
Argentina,P34,False,Integrated in some health facilities,
Argentina,P35,False,Integrated in some health facilities,
Argentina,P36,False,Integrated in some health facilities,
Argentina,P37,False,"Yes, a stand-alone AIDS strategy or policy",
Argentina,P38,False,Yes,
Argentina,P39,False,No,
Argentina,P41,False,Yes,
Argentina,P42,False,Yes,
Argentina,P43,False,Yes,
Argentina,P44,False,"Yes, completed",
Argentina,P45,False,"Yes, rapid initiation within 7 days of HIV diagnosis",
Argentina,P46,False,Yes,
Argentina,P47,False,No,
Argentina,P48,False,Implemented in many  treatment sites,
Argentina,P49,False,Yes,
Argentina,P50,False,"Yes, for adolescents 12 years or younger",
Argentina,P51,False,Yes,
Argentina,P52,False,Yes,
Argentina,P53,False,Yes,
Argentina,P54,False,Countrywide,
Armenia,P1,False,"Yes, fully",
Armenia,P2,False,Yes,
Armenia,P3,False,Yes,
Armenia,P4,False,No,
Armenia,P5,False,No,
Armenia,P6,False,Yes,
Armenia,P7,False,Yes,
Armenia,P8,False,No,
Armenia,P9,False,"Yes, policies exists and are consistently implemented",
Armenia,P10,False,"Yes, policies exist but are not consistently implemented",
Armenia,P11,False,"Yes, at scale",
Armenia,P12,False,Yes,
Armenia,P13,False,No,
Armenia,P14,False,"Yes, for adolescents younger than 18 years",
Armenia,P15,False,"Yes, for adolescents younger than 14 years",
Armenia,P16,False,No,
Armenia,P17,False,No,
Armenia,P18,False,No,
Armenia,P19,False,Fully integrated in all health facilities,
Armenia,P20,False,Delivered separately,
Armenia,P21,False,Fully integrated in all health facilities,
Armenia,P22,False,Fully integrated in all health facilities,
Armenia,P23,False,Delivered separately,
Armenia,P24,False,Delivered separately,
Armenia,P25,False,Fully integrated in all health facilities,
Armenia,P26,False,Delivered separately,
Armenia,P27,False,Fully integrated in all health facilities,
Armenia,P28,False,Delivered separately,
Armenia,P29,False,Delivered separately,
Armenia,P30,False,Delivered separately,
Armenia,P31,False,Delivered separately,
Armenia,P32,False,Fully integrated in all health facilities,
Armenia,P33,False,Delivered separately,
Armenia,P34,False,Delivered separately,
Armenia,P35,False,Delivered separately,
Armenia,P36,False,Delivered separately,
Armenia,P37,False,"Yes, a stand-alone AIDS strategy or policy",
Armenia,P38,False,No,
Armenia,P39,False,No,
Armenia,P40,False,No,
Armenia,P41,False,Yes,
Armenia,P42,False,No,
Armenia,P43,False,Yes,
Armenia,P44,False,On-going,
Armenia,P45,False,No,
Armenia,P46,False,Yes,
Armenia,P47,False,No,
Armenia,P49,False,Yes,
Armenia,P50,False,"Yes, for adolescents younger than 18 years",
Armenia,P51,False,No,
Armenia,P52,False,No,
Australia,P2,False,Yes,
Austria,P2,False,Yes,
Azerbaijan,P1,False,"Yes, partially",
Azerbaijan,P2,False,No,
Azerbaijan,P3,False,Yes,
Azerbaijan,P4,False,Yes,
Azerbaijan,P5,False,Yes,
Azerbaijan,P6,False,Yes,
Azerbaijan,P7,False,No,
Azerbaijan,P8,False,No,
Azerbaijan,P9,False,"Yes, policies exists and are consistently implemented",
Azerbaijan,P10,False,"Yes, policies exists and are consistently implemented",
Azerbaijan,P11,False,"Yes, at scale",
Azerbaijan,P12,False,Yes,
Azerbaijan,P13,False,Yes,
Azerbaijan,P14,False,"Yes, for adolescents younger than 18 years",
Azerbaijan,P15,False,"Yes, for adolescents younger than 16 years",
Azerbaijan,P16,False,"Yes, for adolescents younger than 16 years",
Azerbaijan,P17,False,No,
Azerbaijan,P18,False,No,
Azerbaijan,P19,False,Integrated in some health facilities,
Azerbaijan,P20,False,Delivered separately,
Azerbaijan,P21,False,Integrated in some health facilities,
Azerbaijan,P22,False,Fully integrated in all health facilities,
Azerbaijan,P23,False,Delivered separately,
Azerbaijan,P24,False,Delivered separately,
Azerbaijan,P25,False,Integrated in some health facilities,
Azerbaijan,P26,False,Delivered separately,
Azerbaijan,P27,False,Integrated in some health facilities,
Azerbaijan,P28,False,Integrated in some health facilities,
Azerbaijan,P29,False,Fully integrated in all health facilities,
Azerbaijan,P30,False,Integrated in some health facilities,
Azerbaijan,P31,False,Delivered separately,
Azerbaijan,P32,False,Integrated in some health facilities,
Azerbaijan,P33,False,Integrated in some health facilities,
Azerbaijan,P34,False,Delivered separately,
Azerbaijan,P35,False,Delivered separately,
Azerbaijan,P36,False,Integrated in some health facilities,
Azerbaijan,P37,False,"Yes, a stand-alone AIDS strategy or policy",
Azerbaijan,P38,False,Yes,
Azerbaijan,P39,False,Yes,
Azerbaijan,P40,False,Yes,
Azerbaijan,P41,False,Yes,
Azerbaijan,P42,False,Yes,
Azerbaijan,P43,False,Yes,
Azerbaijan,P44,False,"Yes, completed",
Azerbaijan,P45,False,"Yes, rapid initiation within 7 days of HIV diagnosis",
Azerbaijan,P46,False,Yes,
Azerbaijan,P47,False,"Yes, fully adopted",
Azerbaijan,P48,False,Other,
Azerbaijan,P49,False,Yes,
Azerbaijan,P50,False,"Yes, for adolescents younger than 18 years",
Azerbaijan,P51,False,Yes,
Azerbaijan,P52,False,No,
Azerbaijan,P53,False,No,
Azerbaijan,P54,False,Other,
Bahamas,P1,False,"Yes, partially",
Bahamas,P2,False,No,
Bahamas,P3,False,Yes,
Bahamas,P4,False,No,
Bahamas,P5,False,No,
Bahamas,P6,False,Yes,
Bahamas,P7,False,Yes,
Bahamas,P8,False,No,
Bahamas,P9,False,"Yes, policies exists and are consistently implemented",
Bahamas,P10,False,"Yes, policies exist but are not consistently implemented",
Bahamas,P11,False,"Yes, at scale",
Bahamas,P12,False,Yes,
Bahamas,P13,False,No,
Bahamas,P14,False,"Yes, for adolescents younger than 18 years",
Bahamas,P15,False,"Yes, for adolescents younger than 18 years",
Bahamas,P16,False,"Yes, for adolescents younger than 18 years",
Bahamas,P17,False,Yes,
Bahamas,P18,False,No,
Bahamas,P19,False,Fully integrated in all health facilities,
Bahamas,P20,False,Integrated in some health facilities,
Bahamas,P21,False,Integrated in some health facilities,
Bahamas,P22,False,Fully integrated in all health facilities,
Bahamas,P23,False,Integrated in some health facilities,
Bahamas,P24,False,Delivered separately,
Bahamas,P25,False,Fully integrated in all health facilities,
Bahamas,P26,False,Fully integrated in all health facilities,
Bahamas,P27,False,Fully integrated in all health facilities,
Bahamas,P28,False,Fully integrated in all health facilities,
Bahamas,P29,False,Fully integrated in all health facilities,
Bahamas,P30,False,Integrated in some health facilities,
Bahamas,P31,False,Delivered separately,
Bahamas,P32,False,Fully integrated in all health facilities,
Bahamas,P33,False,Fully integrated in all health facilities,
Bahamas,P34,False,Fully integrated in all health facilities,
Bahamas,P35,False,Fully integrated in all health facilities,
Bahamas,P36,False,Integrated in some health facilities,
Bahamas,P37,False,"Yes, a stand-alone AIDS strategy or policy",
Bahamas,P38,False,No,
Bahamas,P39,False,Yes,
Bahamas,P40,False,No,
Bahamas,P41,False,Yes,
Bahamas,P42,False,Yes,
Bahamas,P43,False,Yes,
Bahamas,P44,False,"Yes, completed",
Bahamas,P45,False,"Yes, rapid initiation within 7 days of HIV diagnosis",
Bahamas,P46,False,Yes,
Bahamas,P49,False,Yes,
Bahamas,P50,False,"Yes, for adolescents younger than 18 years",
Bahamas,P51,False,No,
Bahamas,P52,False,No,
Bahrain,P1,False,"Yes, fully",
Bahrain,P2,False,No,
Bahrain,P12,False,Yes,
Bangladesh,P1,False,"Yes, partially",
Bangladesh,P2,False,Yes,
Bangladesh,P3,False,No,
Bangladesh,P4,False,No,
Bangladesh,P5,False,No,
Bangladesh,P6,False,No,
Bangladesh,P7,False,No,
Bangladesh,P8,False,No,
Bangladesh,P9,False,"Yes, policies exist but are not consistently implemented",
Bangladesh,P10,False,"Yes, policies exist but are not consistently implemented",
Bangladesh,P11,False,"Yes, on a small scale",
Bangladesh,P12,False,No,
Bangladesh,P13,False,No,
Bangladesh,P14,False,"Yes, for adolescents younger than 18 years",
Bangladesh,P15,False,"Yes, for adolescents younger than 18 years",
Bangladesh,P16,False,"Yes, for adolescents younger than 18 years",
Bangladesh,P17,False,No,
Bangladesh,P18,False,No,
Bangladesh,P19,False,Delivered separately,
Bangladesh,P20,False,Integrated in some health facilities,
Bangladesh,P21,False,Integrated in some health facilities,
Bangladesh,P22,False,Delivered separately,
Bangladesh,P23,False,Integrated in some health facilities,
Bangladesh,P24,False,Delivered separately,
Bangladesh,P25,False,Delivered separately,
Bangladesh,P26,False,Delivered separately,
Bangladesh,P27,False,Integrated in some health facilities,
Bangladesh,P28,False,Delivered separately,
Bangladesh,P29,False,Delivered separately,
Bangladesh,P30,False,Delivered separately,
Bangladesh,P31,False,Delivered separately,
Bangladesh,P32,False,Integrated in some health facilities,
Bangladesh,P33,False,Integrated in some health facilities,
Bangladesh,P34,False,Integrated in some health facilities,
Bangladesh,P35,False,Integrated in some health facilities,
Bangladesh,P36,False,Integrated in some health facilities,
Bangladesh,P37,False,"Yes, a health strategy or policy that integrates the AIDS response",
Bangladesh,P38,False,No,
Bangladesh,P39,False,Yes,
Bangladesh,P40,False,Yes,
Bangladesh,P41,False,Yes,
Bangladesh,P42,False,Yes,
Bangladesh,P43,False,Yes,
Bangladesh,P44,False,"Yes, completed",
Bangladesh,P45,False,"Yes, rapid initiation within 7 days of HIV diagnosis",
Bangladesh,P46,False,No,
Bangladesh,P47,False,"Yes, fully adopted",
Bangladesh,P49,False,Yes,
Bangladesh,P50,False,"Yes, for adolescents younger than 18 years",
Bangladesh,P51,False,No,
Bangladesh,P52,False,No,
Bangladesh,P53,False,No,
Barbados,P1,False,"Yes, partially",
Barbados,P2,False,No,
Barbados,P3,False,Yes,
Barbados,P4,False,No,
Barbados,P5,False,No,
Barbados,P6,False,No,
Barbados,P7,False,No,
Barbados,P8,False,No,
Barbados,P9,False,"No, policies do not exist",
Barbados,P10,False,"Yes, policies exists and are consistently implemented",
Barbados,P11,False,"Yes, on a small scale",
Barbados,P12,False,No,
Barbados,P13,False,No,
Barbados,P14,False,"Yes, for adolescents younger than 18 years",
Barbados,P15,False,"Yes, for adolescents younger than 18 years",
Barbados,P16,False,"Yes, for adolescents younger than 18 years",
Barbados,P17,False,No,
Barbados,P18,False,No,
Barbados,P19,False,Fully integrated in all health facilities,
Barbados,P20,False,Delivered separately,
Barbados,P21,False,Fully integrated in all health facilities,
Barbados,P22,False,Fully integrated in all health facilities,
Barbados,P23,False,Fully integrated in all health facilities,
Barbados,P24,False,Delivered separately,
Barbados,P25,False,Integrated in some health facilities,
Barbados,P26,False,Integrated in some health facilities,
Barbados,P27,False,Integrated in some health facilities,
Barbados,P28,False,Integrated in some health facilities,
Barbados,P29,False,Delivered separately,
Barbados,P30,False,Integrated in some health facilities,
Barbados,P31,False,Integrated in some health facilities,
Barbados,P32,False,Integrated in some health facilities,
Barbados,P33,False,Fully integrated in all health facilities,
Barbados,P34,False,Integrated in some health facilities,
Barbados,P35,False,Integrated in some health facilities,
Barbados,P36,False,Delivered separately,
Barbados,P37,False,"Yes, a stand-alone AIDS strategy or policy",
Barbados,P38,False,Yes,
Barbados,P39,False,Yes,
Barbados,P40,False,No,
Barbados,P41,False,No,
Barbados,P44,False,On-going,
Barbados,P49,False,Yes,
Barbados,P50,False,"Yes, for adolescents younger than 18 years",
Barbados,P51,False,No,
Barbados,P52,False,No,
Barbados,P53,False,No,
Belarus,P1,False,"Yes, partially",
Belarus,P2,False,Yes,
Belarus,P3,False,Yes,
Belarus,P4,False,No,
Belarus,P5,False,Yes,
Belarus,P6,False,Yes,
Belarus,P7,False,Yes,
Belarus,P8,False,No,
Belarus,P9,False,"Yes, policies exists and are consistently implemented",
Belarus,P10,False,"Yes, policies exists and are consistently implemented",
Belarus,P11,False,"Yes, at scale",
Belarus,P12,False,Yes,
Belarus,P13,False,No,
Belarus,P14,False,"Yes, for adolescents younger than 18 years",
Belarus,P15,False,"Yes, for adolescents younger than 14 years",
Belarus,P16,False,"Yes, for adolescents younger than 18 years",
Belarus,P17,False,No,
Belarus,P18,False,No,
Belarus,P19,False,Fully integrated in all health facilities,
Belarus,P20,False,Fully integrated in all health facilities,
Belarus,P21,False,Fully integrated in all health facilities,
Belarus,P22,False,Fully integrated in all health facilities,
Belarus,P23,False,Fully integrated in all health facilities,
Belarus,P24,False,Fully integrated in all health facilities,
Belarus,P25,False,Fully integrated in all health facilities,
Belarus,P26,False,Fully integrated in all health facilities,
Belarus,P27,False,Fully integrated in all health facilities,
Belarus,P28,False,Fully integrated in all health facilities,
Belarus,P29,False,Fully integrated in all health facilities,
Belarus,P30,False,Fully integrated in all health facilities,
Belarus,P31,False,Fully integrated in all health facilities,
Belarus,P32,False,Fully integrated in all health facilities,
Belarus,P33,False,Fully integrated in all health facilities,
Belarus,P34,False,Fully integrated in all health facilities,
Belarus,P35,False,Fully integrated in all health facilities,
Belarus,P36,False,Fully integrated in all health facilities,
Belarus,P37,False,"Yes, a stand-alone AIDS strategy or policy",
Belarus,P38,False,Yes,
Belarus,P39,False,Yes,
Belarus,P40,False,Yes,
Belarus,P41,False,Yes,
Belarus,P42,False,Yes,
Belarus,P43,False,Yes,
Belarus,P44,False,"Yes, completed",
Belarus,P45,False,No,
Belarus,P46,False,Yes,
Belarus,P47,False,"Yes, partially adopted",
Belarus,P48,False,Implemented countrywide,
Belarus,P49,False,Yes,
Belarus,P50,False,No,
Belarus,P53,False,No,
Belarus,P54,False,In many  sites,
Belgium,P2,False,Yes,
Belize,P1,False,"Yes, partially",
Belize,P2,False,No,
Belize,P12,False,Yes,
Belize,P15,False,"Yes, for adolescents younger than 18 years",
Benin,P1,False,"Yes, partially",
Benin,P2,False,Yes,
Benin,P3,False,Yes,
Benin,P4,False,No,
Benin,P5,False,No,
Benin,P6,False,No,
Benin,P7,False,Yes,
Benin,P8,False,No,
Benin,P9,False,"Yes, policies exists and are consistently implemented",
Benin,P10,False,"Yes, policies exists and are consistently implemented",
Benin,P11,False,"Yes, as one-off activities",
Benin,P12,False,Yes,
Benin,P13,False,No,
Benin,P14,False,"Yes, for adolescents younger than 16 years",
Benin,P15,False,"Yes, for adolescents younger than 14 years",
Benin,P16,False,"Yes, for adolescents younger than 18 years",
Benin,P17,False,No,
Benin,P18,False,No,
Benin,P19,False,Fully integrated in all health facilities,
Benin,P20,False,Fully integrated in all health facilities,
Benin,P21,False,Fully integrated in all health facilities,
Benin,P22,False,Fully integrated in all health facilities,
Benin,P23,False,Fully integrated in all health facilities,
Benin,P24,False,Integrated in some health facilities,
Benin,P25,False,Integrated in some health facilities,
Benin,P26,False,Delivered separately,
Benin,P27,False,Fully integrated in all health facilities,
Benin,P28,False,Fully integrated in all health facilities,
Benin,P29,False,Integrated in some health facilities,
Benin,P30,False,Delivered separately,
Benin,P31,False,Delivered separately,
Benin,P32,False,Fully integrated in all health facilities,
Benin,P33,False,Fully integrated in all health facilities,
Benin,P34,False,Fully integrated in all health facilities,
Benin,P35,False,Fully integrated in all health facilities,
Benin,P36,False,Integrated in some health facilities,
Benin,P37,False,"Yes, a health strategy or policy that integrates the AIDS response",
Benin,P38,False,Yes,
Benin,P39,False,Yes,
Benin,P40,False,Yes,
Benin,P41,False,No,
Benin,P44,False,On-going,
Benin,P45,False,No,
Benin,P46,False,No,
Benin,P47,False,No,
Benin,P49,False,Yes,
Benin,P50,False,"Yes, for adolescents younger than 14 years",
Benin,P51,False,No,
Benin,P52,False,No,
Benin,P53,False,Yes,
Bhutan,P2,False,No,
Bolivia,P1,False,"Yes, partially",
Bolivia,P2,False,No,
Bolivia,P3,False,Yes,
Bolivia,P4,False,No,
Bolivia,P5,False,No,
Bolivia,P6,False,No,
Bolivia,P7,False,Yes,
Bolivia,P8,False,No,
Bolivia,P9,False,"Yes, policies exists and are consistently implemented",
Bolivia,P10,False,"Yes, policies exist but are not consistently implemented",
Bolivia,P11,False,"Yes, as one-off activities",
Bolivia,P12,False,Yes,
Bolivia,P13,False,No,
Bolivia,P14,False,No,
Bolivia,P15,False,"Yes, for adolescents younger than 18 years",
Bolivia,P16,False,"Yes, for adolescents younger than 18 years",
Bolivia,P17,False,Yes,
Bolivia,P18,False,Yes,
Bolivia,P19,False,Integrated in some health facilities,
Bolivia,P20,False,Integrated in some health facilities,
Bolivia,P21,False,Integrated in some health facilities,
Bolivia,P22,False,Integrated in some health facilities,
Bolivia,P23,False,Integrated in some health facilities,
Bolivia,P24,False,Integrated in some health facilities,
Bolivia,P25,False,Delivered separately,
Bolivia,P26,False,Delivered separately,
Bolivia,P27,False,Integrated in some health facilities,
Bolivia,P28,False,Integrated in some health facilities,
Bolivia,P29,False,Delivered separately,
Bolivia,P30,False,Delivered separately,
Bolivia,P31,False,Delivered separately,
Bolivia,P32,False,Integrated in some health facilities,
Bolivia,P33,False,Delivered separately,
Bolivia,P34,False,Integrated in some health facilities,
Bolivia,P35,False,Integrated in some health facilities,
Bolivia,P36,False,Delivered separately,
Bolivia,P37,False,"Yes, a stand-alone AIDS strategy or policy",
Bolivia,P38,False,Yes,
