Country,Country adopted 2015 WHO guidelines recommendations on HIV testing services,Country has a national policy on HIV self-testing,Law specifying HIV testing solely performed based on voluntary and informed consent,Law specifying HIV testing is mandatory before marriage,Law specifying HIV testing is mandatory to obtain a work or residence permit,Law specifying HIV testing is mandatory for certain groups: National authorities,Law specifying HIV testing is mandatory for certain groups: Civil society,Criminalization of vertical transmission of HIV,Policies requiring healthcare settings to provide timely and quality healthcare regardless of any grounds for national authorities,Policies requiring healthcare settings to provide timely and quality healthcare regardless of any grounds for the civil society,Interventions targeting healthcare workers on human rights and gender-based violence,"Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Laws restricting entry, stay and residence of people living with HIV",Laws requiring parental consent for adolescents to access sexual and reproductive health services,Laws requiring parental consent for adolescents to access HIV testing,Laws requiring parental consent for adolescents to access HIV treatment,Laws requiring spousal consent for married women to access sexual and reproductive health services,Laws requiring spousal consent for married women to access HIV testing,Health facilities delivering integrated services: HIV counselling and testing with SRH,Health facilities delivering integrated services: HIV treatment and care with SRH,Health facilities delivering integrated services: HIV counselling and testing with TB services,Health facilities delivering integrated services: TB screening in HIV services,Health facilities delivering integrated services: ART and TB treatment,Health facilities delivering integrated services: HIV and hepatitis C treatment,Health facilities delivering integrated services: HIV counselling and testing and chronic NCDs,Health facilities delivering integrated services: ART and chronic NCDs,Health facilities delivering integrated services: HIV counselling and testing and general outpatient care,Health facilities delivering integrated services: ART and general outpatient care,Health facilities delivering integrated services: Violence screening and mitigation with HIV services,Health facilities delivering integrated services: HIV testing and counselling with cervical cancer screening and treatment,Health facilities delivering integrated services: Cervical cancer screening with HIV services,Health facilities delivering integrated services: PMTCT with antenatal care / maternal and child health,Health facilities delivering integrated services: HIV treatment and care with nutrition support,Health facilities delivering integrated services: HIV testing with child health services,Health facilities delivering integrated services: HIV treatment and care with child health services,Health facilities delivering integrated services: HIV and harm reduction services,National strategy/policy guiding AIDS response,National HIV strategy/policy reviewed in last 2 years,National AIDS strategy/policy includes gender-transformative interventions,National AIDS strategy/policy includes dedicated budget for gender transformative interventions,Deaths must be reported using a standard death report form that includes cause of death,Individual-level data on reported deaths can be reported directly to the country's national HIV case reporting system,Individual-level data on reported deaths can be linked to the country's national HIV case reporting system,Country adapted 2018 WHO consolidated guidelines on ARV use for treating and preventing HIV infection,Country adopted WHO 2017 recommendation on rapid initiation on ART,Possible to start ART on the same day as HIV diagnosis,Country adopted WHO 2017 recommendation to offer interventions for advanced HIV disease,Implementation status of recommended interventions for advanced HIV disease,Country has a policy on retesting HIV-negative women during pregnancy/delivery and/or the post-partum/breastfeeding period,"Laws requiring parental consent for adolescents to access contraceptives, including condoms",Process exists to deem adolescents mature to access contraceptives without parental consent,Process exists to deem adolescents mature to access HIV testing without parental consent,Process exists to deem adolescents mature to access HIV treatment without parental consent,Percentage of clients with access to CD4 testing for immunological staging
Azerbaijan,"Yes, partially ",No ,Yes ,Yes ,Yes ,Yes ,No ,No ,"Yes, policies exists and are consistently implemented ","Yes, policies exists and are consistently implemented ","Yes, at scale ",Yes ,Yes ,"Yes, for adolescents younger than 18 years ","Yes, for adolescents younger than 16 years ","Yes, for adolescents younger than 16 years ",No ,No ,Integrated in some health facilities ,Delivered separately ,Integrated in some health facilities ,Fully integrated in all health facilities ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,"Yes, a stand-alone AIDS strategy or policy ",Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,"Yes, completed ","Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, fully adopted ",Other ,Yes ,"Yes, for adolescents younger than 18 years ",Yes ,No ,No ,Other 
Bahamas,"Yes, partially ",No ,Yes ,No ,No ,Yes ,Yes ,No ,"Yes, policies exists and are consistently implemented ","Yes, policies exist but are not consistently implemented ","Yes, at scale ",Yes ,No ,"Yes, for adolescents younger than 18 years ","Yes, for adolescents younger than 18 years ","Yes, for adolescents younger than 18 years ",Yes ,No ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Delivered separately ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Delivered separately ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,"Yes, a stand-alone AIDS strategy or policy ",No ,Yes ,No ,Yes ,Yes ,Yes ,"Yes, completed ","Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,,,Yes ,"Yes, for adolescents younger than 18 years ",No ,No ,,
Bahrain,"Yes, fully ",No ,,,,,,,,,,Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,"Yes, partially ",Yes ,No ,No ,No ,No ,No ,No ,"Yes, policies exist but are not consistently implemented ","Yes, policies exist but are not consistently implemented ","Yes, on a small scale ",No ,No ,"Yes, for adolescents younger than 18 years ","Yes, for adolescents younger than 18 years ","Yes, for adolescents younger than 18 years ",No ,No ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,"Yes, a health strategy or policy that integrates the AIDS response ",No ,Yes ,Yes ,Yes ,Yes ,Yes ,"Yes, completed ","Yes, rapid initiation within 7 days of HIV diagnosis ",No ,"Yes, fully adopted ",,Yes ,"Yes, for adolescents younger than 18 years ",No ,No ,No ,
Barbados,"Yes, partially ",No ,Yes ,No ,No ,No ,No ,No ,"No, policies do not exist ","Yes, policies exists and are consistently implemented ","Yes, on a small scale ",No ,No ,"Yes, for adolescents younger than 18 years ","Yes, for adolescents younger than 18 years ","Yes, for adolescents younger than 18 years ",No ,No ,Fully integrated in all health facilities ,Delivered separately ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,"Yes, a stand-alone AIDS strategy or policy ",Yes ,Yes ,No ,No ,,,On-going ,,,,,Yes ,"Yes, for adolescents younger than 18 years ",No ,No ,No ,
Belarus,"Yes, partially ",Yes ,Yes ,No ,Yes ,Yes ,Yes ,No ,"Yes, policies exists and are consistently implemented ","Yes, policies exists and are consistently implemented ","Yes, at scale ",Yes ,No ,"Yes, for adolescents younger than 18 years ","Yes, for adolescents younger than 14 years ","Yes, for adolescents younger than 18 years ",No ,No ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,"Yes, a stand-alone AIDS strategy or policy ",Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,"Yes, completed ",No ,Yes ,"Yes, partially adopted ",Implemented countrywide  ,Yes ,No ,,,No ,In many  sites 
Belgium,,Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,"Yes, partially ",No ,,,,,,,,,,Yes ,,,"Yes, for adolescents younger than 18 years ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,"Yes, partially ",Yes ,Yes ,No ,No ,No ,Yes ,No ,"Yes, policies exists and are consistently implemented ","Yes, policies exists and are consistently implemented ","Yes, as one-off activities ",Yes ,No ,"Yes, for adolescents younger than 16 years ","Yes, for adolescents younger than 14 years ","Yes, for adolescents younger than 18 years ",No ,No ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,"Yes, a health strategy or policy that integrates the AIDS response ",Yes ,Yes ,Yes ,No ,,,On-going ,No ,No ,No ,,Yes ,"Yes, for adolescents younger than 14 years ",No ,No ,Yes ,
Bhutan,,No ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia ,"Yes, partially ",No ,Yes ,No ,No ,No ,Yes ,No ,"Yes, policies exists and are consistently implemented ","Yes, policies exist but are not consistently implemented ","Yes, as one-off activities ",Yes ,No ,No ,"Yes, for adolescents younger than 18 years ","Yes, for adolescents younger than 18 years ",Yes ,Yes ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,"Yes, a stand-alone AIDS strategy or policy ",Yes ,No ,Yes ,Yes ,No ,Yes ,On-going ,"Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, fully adopted ",Implemented in many  treatment sites ,No ,"Yes, for adolescents younger than 18 years ",Yes ,No ,No ,In many  sites 
Bosnia and Herzegovina,,Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,"Yes, partially ",Yes ,Yes ,No ,No ,Yes ,Yes ,No ,"Yes, policies exists and are consistently implemented ","Yes, policies exist but are not consistently implemented ","Yes, on a small scale ",Yes ,No ,"Yes, for adolescents younger than 16 years ","Yes, for adolescents younger than 16 years ","Yes, for adolescents younger than 16 years ",No ,No ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,"Yes, a stand-alone AIDS strategy or policy ",Yes ,No ,No ,Yes ,No ,No ,"Yes, completed ","Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, fully adopted ",Implemented countrywide  ,Yes ,No ,,Yes ,Yes ,Countrywide  
Brazil,"Yes, partially ",Yes ,Yes ,No ,No ,No ,Yes ,No ,"Yes, policies exist but are not consistently implemented ","Yes, policies exist but are not consistently implemented ","Yes, as one-off activities ",No ,No ,No ,No ,No ,No ,No ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,"Yes, a health strategy or policy that integrates the AIDS response ",Yes ,Yes ,Yes ,Yes ,No ,Yes ,"Yes, completed ","Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, fully adopted ",Implemented countrywide  ,Yes ,No ,,,No ,Countrywide  
Brunei Darussalam,No ,No ,,No ,Yes ,Yes ,,No ,,,,,,,No ,No ,No ,No ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,,No ,,,,Yes ,Yes ,No ,No ,No ,No ,"Yes, partially adopted ",Implemented countrywide  ,Yes ,No ,,,,
Bulgaria,,No ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,Don't know ,Yes ,Yes ,No ,No ,No ,No ,No ,"Yes, policies exists and are consistently implemented ","Yes, policies exists and are consistently implemented ","Yes, at scale ",Yes ,,"Yes, for adolescents younger than 18 years ","Yes, for adolescents younger than 18 years ",No ,No ,No ,Fully integrated in all health facilities ,Delivered separately ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,"Yes, a stand-alone AIDS strategy or policy ",Yes ,Yes ,Yes ,No ,,,"Yes, completed ","Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, fully adopted ",Implemented countrywide  ,No ,No ,,Yes ,,Countrywide  
Burundi,"Yes, partially ",Yes ,Yes ,No ,No ,No ,No ,No ,"Yes, policies exists and are consistently implemented ","Yes, policies exist but are not consistently implemented ","Yes, on a small scale ",Yes ,No ,"Yes, for adolescents younger than 16 years ","Yes, for adolescents younger than 16 years ","Yes, for adolescents younger than 16 years ",No ,No ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,"Yes, a health strategy or policy that integrates the AIDS response ",No ,Yes ,Yes ,No ,,,,,,,,,,,,,
Cabo Verde,,No ,,,,,,,,,,Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,"Yes, partially ",Yes ,Yes ,No ,No ,No ,No ,Yes ,"Yes, policies exists and are consistently implemented ","Yes, policies exist but are not consistently implemented ","Yes, at scale ",Yes ,No ,"Yes, for adolescents younger than 18 years ","Yes, for adolescents younger than 14 years ",No ,No ,No ,Fully integrated in all health facilities ,Delivered separately ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,Delivered separately ,Fully integrated in all health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,"Yes, a stand-alone AIDS strategy or policy ",Yes ,Yes ,No ,No ,,,"Yes, completed ",,,,,Yes ,,,,,In many  sites 
Cameroon,"Yes, partially ",Yes ,Yes ,No ,No ,No ,No ,Yes ,"Yes, policies exists and are consistently implemented ","Yes, policies exists and are consistently implemented ","Yes, as one-off activities ",No ,No ,No ,No ,No ,No ,No ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,Delivered separately ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Delivered separately ,"Yes, a health strategy or policy that integrates the AIDS response ",Yes ,No ,Yes ,Yes ,No ,No ,On-going ,"Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, partially adopted ",,Yes ,No ,,,,
Canada,"Yes, partially ",No ,Yes ,No ,Yes ,No ,No ,No ,"Yes, policies exists and are consistently implemented ","Yes, policies exist but are not consistently implemented ",,"No, but prosecutions exist based on general criminal laws ",,No ,No ,No ,No ,No ,Integrated in some health facilities ,Integrated in some health facilities ,,Integrated in some health facilities ,,,,,Integrated in some health facilities ,Integrated in some health facilities ,,,,,,,,,"Yes, a health strategy or policy that integrates the AIDS response ",Yes ,Yes ,No ,Yes ,No ,No ,No ,Other ,Yes ,No ,,Yes ,No ,,,,Countrywide  
Central African Republic,"Yes, partially ",Yes ,Yes ,Yes ,No ,Yes ,Yes ,No ,"Yes, policies exists and are consistently implemented ","Yes, policies exist but are not consistently implemented ",No ,Yes ,No ,"Yes, for adolescents younger than 14 years ","Yes, for adolescents younger than 14 years ","Yes, for adolescents younger than 14 years ",No ,No ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,"Yes, a stand-alone AIDS strategy or policy ",Yes ,Yes ,Yes ,No ,,,"Yes, completed ",No ,Yes ,"Yes, fully adopted ",Implemented in few  treatment sites ,Yes ,No ,,No ,No ,In few  sites 
Chad,"Yes, partially ",No ,,,,,,,,,,Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, completed ",,Yes ,,,Yes ,,,,,In many  sites 
